country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,pollution_spread,pm25_dominance,kmeans_cluster,risk_level,risk_label,dbscan_cluster
Afghanistan,Acin,62.0,0.0,46.0,0.0,62.0,31.85383284106744,0.5740740687585735,2,0,Low Risk,0
Afghanistan,Anar Darreh,126.0,1.0,42.0,0.0,126.0,59.162910678904225,0.7455621257659046,1,1,Moderate Risk,0
Afghanistan,Andarab,104.0,0.0,34.0,0.0,104.0,49.02720333311565,0.7536231829447596,1,1,Moderate Risk,0
Afghanistan,Asadabad,131.0,1.0,43.0,0.0,131.0,61.52167639675196,0.7485714242938776,1,1,Moderate Risk,0
Afghanistan,Asmar,151.0,2.0,48.0,1.0,151.0,70.4958627627655,0.7475247487746299,0,3,Severe Risk,0
Afghanistan,Aybak,74.0,1.0,41.0,0.0,74.0,35.56215216584433,0.6379310289833532,1,1,Moderate Risk,0
Afghanistan,Azrow,72.0,0.0,48.0,0.0,72.0,36.0,0.599999995,1,1,Moderate Risk,0
Afghanistan,Baglan,72.0,1.0,44.0,0.0,72.0,35.11291310425079,0.6153846101249179,1,1,Moderate Risk,0
Afghanistan,Bagrami,102.0,1.0,40.0,0.0,102.0,47.93311311956833,0.7132867082986943,1,1,Moderate Risk,0
Afghanistan,Baraki Barak,67.0,0.0,41.0,0.0,67.0,32.93427798915086,0.6203703646262003,1,1,Moderate Risk,0
Afghanistan,Cah Ab,123.0,1.0,47.0,0.0,123.0,57.81796145374434,0.7192982414076127,1,1,Moderate Risk,0
Afghanistan,Carikar,67.0,0.0,37.0,0.0,67.0,32.424270744819125,0.6442307630362427,1,1,Moderate Risk,0
Afghanistan,Ciras,90.0,0.0,26.0,0.0,90.0,42.473521163190604,0.7758620622770512,1,1,Moderate Risk,0
Afghanistan,Dawlatabad,92.0,1.0,43.0,0.0,92.0,43.55073669487884,0.6764705832612458,1,1,Moderate Risk,0
Afghanistan,Deh Rawud,49.0,0.0,49.0,0.0,47.0,27.72483844257107,0.48958332823350703,2,0,Low Risk,0
Afghanistan,Eskasem,85.0,0.0,14.0,0.0,85.0,40.705241267761416,0.8585858499132742,1,1,Moderate Risk,0
Afghanistan,Farah,103.0,1.0,42.0,0.0,103.0,48.45960517104255,0.7054794472227435,1,1,Moderate Risk,0
Afghanistan,Gardez,82.0,0.0,40.0,0.0,82.0,39.17056718166503,0.672131142031712,1,1,Moderate Risk,0
Afghanistan,Gazni,83.0,0.0,40.0,0.0,83.0,39.60955271985114,0.6747967424813273,1,1,Moderate Risk,0
Afghanistan,Geresk,106.0,1.0,39.0,0.0,106.0,49.76277055523872,0.7260273922874836,1,1,Moderate Risk,0
Afghanistan,Herat,83.0,1.0,41.0,0.0,83.0,39.4324316605845,0.6639999946880001,1,1,Moderate Risk,0
Afghanistan,Jurm,128.0,0.0,26.0,0.0,128.0,60.91250555783544,0.831168825771631,1,1,Moderate Risk,0
Afghanistan,Kabul,64.0,0.0,41.0,0.0,64.0,31.731950249971504,0.609523803718821,1,1,Moderate Risk,0
Afghanistan,Kholm,123.0,1.0,35.0,0.0,123.0,57.8352545310096,0.7735849007950635,1,1,Moderate Risk,0
Afghanistan,Khowst,94.0,1.0,54.0,0.0,94.0,45.4706865280626,0.630872478987433,1,1,Moderate Risk,0
Afghanistan,Kuhestan,151.0,1.0,41.0,0.0,151.0,71.11200086248921,0.7823834156353191,0,3,Severe Risk,0
Afghanistan,Kusk,198.0,1.0,35.0,0.0,198.0,94.41221672361404,0.8461538425378041,0,3,Severe Risk,0
Afghanistan,Lar Gerd,70.0,0.0,34.0,0.0,70.0,33.42653636459113,0.6730769166050297,1,1,Moderate Risk,0
Afghanistan,Mehtar Lam,63.0,1.0,45.0,0.0,63.0,31.752952618614856,0.5779816460735628,2,0,Low Risk,0
Afghanistan,Mirabad,165.0,1.0,45.0,0.0,165.0,77.71904528492357,0.781990517620898,0,3,Severe Risk,0
Afghanistan,Nahrin,99.0,1.0,49.0,0.0,99.0,47.09122352767375,0.6644295257420837,1,1,Moderate Risk,0
Afghanistan,Nuristan,59.0,0.0,37.0,0.0,59.0,29.13188402192118,0.6145833269314237,1,1,Moderate Risk,0
Afghanistan,Orgun,84.0,0.0,37.0,0.0,84.0,39.85285435197835,0.6942148702957449,1,1,Moderate Risk,0
Afghanistan,Pagman,87.0,0.0,39.0,0.0,87.0,41.31585652022719,0.6904761849962208,1,1,Moderate Risk,0
Afghanistan,Panjab,83.0,0.0,28.0,0.0,83.0,39.12693019732914,0.7477477410112816,1,1,Moderate Risk,0
Afghanistan,Qandahar,56.0,0.0,33.0,0.0,56.0,27.35415873317986,0.6292134760762531,1,1,Moderate Risk,0
